,retailer_id,outlet_name,outlet_type_id,type_name,outlet_photo,lat,longi,street_address,pin_code,district,taluka,owner_name,contact_no,landmark,u_name,user_contact_no,beat_number,sub_beat,full_beat
999,92671,Basavaraj shop,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/LST32447960-Basavaraj shop20240923_16151409ap.jpeg,14.4806581,75.9719725,Jagalore rode davanagere,577001,Davangere,Davanagere,Basavay,9380129927,Jagalore rode davanagere,Sanjay kumar s,9964140461,0,,0
1000,92672,Basavaraj shop,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/TQS97583032-Basavaraj shop20240923_151512pk9p.jpeg,14.4908603,76.0442462,Gagalore rode davanagere,577001,Davangere,Davanagere,Basavaraj,9380431788,Gagalore rode davanagere,Sanjay kumar s,9964140461,0,,0
845,90107,Vedha provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/MWL30012976-Vedha provision store20240722_1530oa411.jpeg,14.5477416,75.8712395,Devaraj uras Badavane 2nd main 2nd cross near Shiva temple ,577006,Davangere,Davanagere,Ningaraja Gowda,9980998662,Shiva temple,Unknown User,9632388953,0,,0
814,89432,Manjunath gobe centre,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/OCC18062640-Manjunath gobe centre20240923_1312147le6.jpeg,14.4802184,75.9804379,Gagalore rode davanagere,577001,Davangere,Davanagere,Nagaraj,8970899973,Gagalore rode davanagere,Sanjay kumar s,9964140461,0,,0
563,83641,SHRI KALLESHWARA PROVISION STORES,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/ARG22387336-IMG-20241003_1108569n9.jpeg,14.4210517,75.979075,Kalapanahally davanagere,577001,Davangere,Davanagere,Bharath,8310212149,Kalapanahally davanagere,Sanjay kumar s,9964140461,0,,0
543,83272,Shri Basaveshwara Provision Store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/XOO79950678-IMG-20241010_11193aon4.jpeg,14.5181609,75.9292899,Kadalbal davanagere,577001,Davangere,Davanagere,Basanna,9900837415,Kadalbal davanagere,Sanjay kumar s,9964140461,0,,0
69,71575,SHRI MARALUSIDDESHWAR HOTEL,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/RGH40831854-SHRI MARALUSIDDESHWAR HOTEL20240920_145858o13.jpeg,14.3087434,75.9956018,Kurke davanagere,577514,Davangere,Davanagere,Vijay kumar,9535785686,Kurke davanagere,Sanjay kumar s,9964140461,0,,0
321,76785,Lokpal Provision Store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/EYP15402562-IMG-20241011_150810p3pb.jpeg,14.5814616,75.9635598,Harapannahalli rd davanagere,577001,Davangere,Davanagere,Mangala,6360298433,Harapannahalli rd davanagere,Sanjay kumar s,9964140461,0,,0
222,73926,Venkatesh store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/DPR72328921-Venkatesh store20240920_13308a2b.jpeg,14.3548127,75.978759,Kurke davanagere,577514,Davangere,Davanagere,Venkatesh,8746098649,Kurke davanagere,Sanjay kumar s,9964140461,0,,0
107,72147,Maruti provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/MWS25391838-Maruti provision store20240920_1447177k9j.jpeg,14.3077264,75.9956976,Kurke davanagere,577514,Davangere,Davanagere,Nagaraj,8861002627,Kurke davanagere,Sanjay kumar s,9964140461,0,,0
52,71338,Shri bhagava rama conditions,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/ROW80897836-Shri bhagava rama conditions20240904_141718ip0f.jpeg,14.4576942,75.9254342,Baghath singh nagar 1st main 3rd cross Davanagere,577004,Davangere,Davanagere,Bhagava,9845457346,Nataya ganapati temple,Unknown User,9632388953,1,L,1L
1629,111464,SRI ANJANAYA STORE,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/OAY05379087-IMG-20241031_1643lh0hf.jpeg,14.4405683,75.9198924,Vidyanagara davanagere,577004,Davangere,Davanagere,Nataraj,8970877224,Vidyanagara davanagere,Sanjay kumar s,9964140461,1,D,1D
1627,111461,S M BAKERY,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/ZIZ79808727-IMG-20241031_1609341i0.jpeg,14.4381788,75.9183209,Vidyanagara davanagere,577005,Davangere,Davanagere,Rakshita,8892889203,Vidyanagara davanagere,Sanjay kumar s,9964140461,1,B,1B
1626,111459,IYENGAR CAKE HOUSE,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/JTD53839080-IMG-20241031_1530124p9.jpeg,14.4363119,75.9188137,Vidyanagara davanagere,577004,Davangere,Davanagere,Siddesh,9916872259,Vidyanagara davanagere,Sanjay kumar s,9964140461,1,B,1B
1625,111445,Sri Lakshmi Venkateswara Provision Store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/YUC65076334-IMG-20241030_1510jm00h.jpeg,14.4663357,75.9120274,Vinobha nagar davanagere,577004,Davangere,Davanagere,Manjunath,7019671636,Vinibha nagar davanagere,Sanjay kumar s,9964140461,1,O,1O
1622,111434,Karibasappa Provision Store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/TMB70472411-IMG-20241026_1130f34o6.jpeg,14.4773384,75.9118244,Kodajji rd davanagere,577004,Davangere,Davanagere,Karibasappa,7759100238,Kodajji rd davanagere,Sanjay kumar s,9964140461,1,U,1U
1621,111398,Poornima Bakery,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/RPK36531167-IMG-20241026_1338agj75.jpeg,14.47289,75.9158136,Kodajji rd davanagere,577004,Davangere,Davanagere,Manjunath,8884977892,Kodajji rd davanagere,Sanjay kumar s,9964140461,1,S,1S
1620,111396,Sagar Bakery & sweets,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/IMU69831032-IMG-20241026_1312a2f64.jpeg,14.472917,75.9158175,Kodajji rd davanagere,577004,Davangere,Davanagere,Annad,9741130642,Kodajji rd davanagere,Sanjay kumar s,9964140461,1,S,1S
1619,111393,KIRAN BEEDA STALL,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/CHO62582038-IMG-20241026_1252cnk4p.jpeg,14.4727444,75.9158908,Kodajji rd davanagere,577004,Davangere,Davanagere,Kiran,9611231863,Kodajji rd davanagere,Sanjay kumar s,9964140461,1,S,1S
1618,111170,JAYAPPA SHOP,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/MXP88245887-IMG-20241031_11539fgm1.jpeg,14.4448925,75.9176251,Vidyanagara davanagere ,577005,Davangere,Davanagere,Jayappa,7760047233,Vidyanagara davanagere,Sanjay kumar s,9964140461,1,E,1E
1617,111010,Maralusideswara Provision Store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/ZRW32833554-IMG-20241031_1351h6pg6.jpeg,14.43932,75.917578,Vidyanagara davanagere,577005,Davangere,Davanagere,Halesh,9880211729,Vidyanagara davanagere,Sanjay kumar s,9964140461,1,B,1B
1616,110994,Lekhana coffee & tea stall,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/KTF44266902-IMG-20241031_12584a2o4.jpeg,14.4414608,75.9173767,Vidyanagara davanagere,577005,Davangere,Davanagere,Vinay,8310045421,Vidyanagara davanagere,Sanjay kumar s,9964140461,1,D,1D
1615,110973,Namana condiments,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/GFZ53534345-IMG-20241031_1225n8ike.jpeg,14.4414512,75.9175733,Vidyanagara davanagere,577005,Davangere,Davanagere,Jitendra,9886507265,Vidyanagara davanagere,Sanjay kumar s,9964140461,1,D,1D
2529,170158,ARUN PAN SHOP,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/outlet-photos/2054aed4-090d-4fe6-b2c5-8a615d1af454,14.4396122,75.8995746,Nh4 shamnur davanagere,577002,Davangere,Davanagere,Arun kunar,9742374544,Nh4 shamnur davanagere,Sanjay kumar s,9964140461,1,C,1C
55,71394,Shri Nethravathi pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/UDG17747975-Shri Nethravathi pravison store20240826_14311le.jpeg,14.4442995,75.9332135,Jaynagar SS hospital road bhagiratha circle Davanagere,577004,Davangere,Davanagere,Chethan,9620020490,Bhagiratha circle Davanagere,Unknown User,9632388953,1,D,1D
28,70769,Shri guru basaveswara provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/YTN66698258-Shri guru basaveswara provision store20240731_114036kng.jpeg,14.4480002,75.9253835,Nittavalli  60 feet road Davanagere,577002,Davangere,Davanagere,Manjulamma,9880370960,SBI ATM,Unknown User,9632388953,1,E,1E
2486,168371,PRAVEEN PROVISION STORE,1,General Store,https://gtaprodstorage.blob.core.windows.net/outlet-photos/1e350d03-ce62-400e-9461-7ac91fa95ddf,14.4602791,75.9077289,Lakshmi flor mill davanagere,577002,Davangere,Davanagere,Praveen,9902693682,Lakshmi flor mill davanagere,Sanjay kumar s,9964140461,1,J,1J
25,70674,Shri sakthi vastu bandara provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/DKD61799415-Shri sakthi vastu bandara provision store20240724_1640me37o.jpeg,14.4607759,75.9093959,MCC A block Davanagere shaibaba temple,577004,Davangere,Davanagere,Manjunath,9480598994,Shai baba temple,Unknown User,9632388953,1,J,1J
1,14303,S S HIREMAT STORE,1,General Store,https://gtaprodstorage.blob.core.windows.net/outlet-photos/14303,14.4639903,75.9022451,Ring road davanagere,577004,Davangere,Davanagere,Umesh,9945363021,Ring road davanagere,Sanjay kumar s,9964140461,1,M,1M
2530,170161,SRI SIDDESHWARA KIRANI STORE,1,General Store,https://gtaprodstorage.blob.core.windows.net/outlet-photos/10bf5af1-d728-4c8f-a7e3-9b0c43aecbbd,14.4406378,75.8978742,Nh4 shamnur davanagere,577002,Davangere,Davanagere,Mahendra,8970675997,Nh4 shamnur davanagere,Sanjay kumar s,9964140461,1,C,1C
50,71291,Shri manjunath pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/HEW55217290-Shri manjunath pravison store20240824_1128128cg4.jpeg,14.4562447,75.901067,SS B block kundavada kere road Davanagere,577004,Davangere,Davanagere,Manjunath,9448980064,Kundavada kere road,Unknown User,9632388953,1,M,1M
49,71259,Sri Sai Balaji Provision Store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/HCM92333673-Sri Sai Balaji Provision Store20240919_16474jp9j.jpeg,14.4404551,75.8945149,Shamanur davanagere,577004,Davangere,Davanagere,Rajani,9916279117,Dhamanur davanagere,Sanjay kumar s,9964140461,1,C,1C
44,71190,Shri Raghavendra pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/APV91824313-Shri Raghavendra pravison store20240824_1031gpmk3.jpeg,14.4562982,75.9014035,SS B block kundavada kere road Davanagere,577004,Davangere,Davanagere,Suresh,9036199230,Kundavada kere road,Unknown User,9632388953,1,M,1M
43,71185,Muralishiddeswar pravison & veg stall,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/RRE08513528-Muralishiddeswar veg&furits stall20240829_1141d65.jpeg,14.4541057,75.9340161,DCM layout township circle Davanagere,577004,Davangere,Davanagere,Prakash,9885062886,Township circle,Unknown User,9632388953,1,I,1I
39,71023,Shri Mallikarjun provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/JJV17943187-Shri Mallikarjun provision store20240722_135317b91m.jpeg,14.4732117,75.9119021,Devaraj uras Badavane shivali talkies Davanagere,577006,Davangere,Davanagere,Mallikarjun,9880667550,Shivali talkies ,Unknown User,9632388953,1,P,1P
38,71015,Shri verabadreswar pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/RFA04291975-Shri verabadreswar pravison store20240828_1144ehe1c.jpeg,14.4515406,75.9309966,Nittaval road vasanth nagar Anjaya temple Davanagere,577002,Davangere,Davanagere,Dayanna,6363947954,Anjaya temple,Unknown User,9632388953,1,I,1I
30,70783,Shri guru kottureswara pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/JLM18012216-Shri guru kottureswara pravison store20240904_1305f5o0i.jpeg,14.4577697,75.9264772,Bhagath Singh nagar 1st main 8th cross Davanagere,577004,Davangere,Davanagere,Guru,9865664668,Vinyak temple,Unknown User,9632388953,1,L,1L
110,72205,Krishan provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/XGW54569690-Krishan provision store20240828_125286mn7.jpeg,14.4524123,75.9299921,Chikkanali hosa Badavni government school Davanagere,577004,Davangere,Davanagere,Uma,9008862776,Government,Unknown User,9632388953,1,K,1K
108,72187,Shri Ranghanath Bekariy,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/BEK44927978-Shri Ranghanath Bekariy20240904_1609b4i0e.jpeg,14.4512544,75.9245998,Nittaval main road 4th cross police station Davanagere,577004,Davangere,Davanagere,Yogesh,9900436381,Police station ,Unknown User,9632388953,1,H,1H
105,72123,Nanjundeswri condiments,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/VIY54140309-Nanjundeswri condiments20240822_1531j78pd.jpeg,14.4615187,75.9227134,KB Badavni jayadeva park Nittaval road Davanagere,577002,Davangere,Davanagere,Magesh,9845238626,Jayadeva park,Unknown User,9632388953,1,N,1N
104,72115, Sree Samarth tea stal,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/TRH60803744- Sree Samarth tea stal20240803_1156129aka.jpeg,14.4364032,75.9225063,Hadadi main road vinyak temple Davanagere,577004,Davangere,Davanagere,Shekhar,7760601867,Vinyak temple,Unknown User,9632388953,1,B,1B
2473,168059,BALAJI KIRANI STORE,1,General Store,https://gtaprodstorage.blob.core.windows.net/outlet-photos/5f52284e-7663-47b6-a38b-8885bd1b609a,14.4510359,75.9090213,Bat road davanagere,577005,Davangere,Davanagere,Sawram,8310315144,Bat road davanagere,Sanjay kumar s,9964140461,1,F,1F
91,71885,Bhavana Bekariy & sweets,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/HPH91478986-Bhavana Bekariy & sweets20240731_0959114bb3.jpeg,14.4464876,75.9217899,Nittavalli 60 feet road Davanagere,577002,Davangere,Davanagere,Ganesh,9611575550,ITI gate ,Unknown User,9632388953,1,E,1E
90,71883,Azmall khan general store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/OAC13876661-Azmall khan general store20240730_1031p5614.jpeg,14.4598882,75.9219191,Ktj Nagar 3rd main 6th cross Davanagere,577002,Davangere,Davanagere,Azamal,9844403668,Shivappa circle,Unknown User,9632388953,1,L,1L
131,72608,Kavana pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/PYI19680664-Kavana pravison store20240829_1024h73a6.jpeg,14.4524691,75.9322605,Shri ram nagar 1st main 3rd cross Davanagere,577004,Davangere,Davanagere,Raghavendra,9844253267,Government school,Unknown User,9632388953,1,I,1I
126,72513,Basaveswara tea stall,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/ZXJ95619809-Basaveswara tea stall20240824_1102o92gn.jpeg,14.4563831,75.8982499,SS B block kundavada kere road Davanagere,577004,Davangere,Davanagere,Yathish,9019856154,Kundavada kere road,Unknown User,9632388953,1,M,1M
125,72510,Reliance smart point,2,Supermarket,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/WCZ41714301-Reliance smart point20240724_134813nok1.jpeg,14.4512949,75.9133279,MCC A block Davanagere,577004,Davangere,Davanagere,Manjunath,9900026750,MCC A block park ,Unknown User,9632388953,1,J,1J
124,72507,Ajjaya pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/UBN28844631-Ajjaya pravison store20240805_1109bi80i.jpeg,14.4691716,75.9043226,Vinayak nagar ring road Davanagere,577002,Davangere,Davanagere,Basavaraj,9886228135,BSNL office,Unknown User,9632388953,1,P,1P
122,72460,Gudiya pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/DNK07188233-Gudiya pravison store20240814_154413ickf.jpeg,14.4454886,75.9047903,Saraswati nagar durgambika school Davanagere,577005,Davangere,Davanagere,Sunilkumar,9964434642,Durgambika school,Unknown User,9632388953,1,F,1F
121,72434,Shrinevash beeda satal,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/APU92483447-Shrinevash beeda satal20240729_1425k39bl.jpeg,14.4575875,75.9249048,Ktj Nagar Nittavalli main road Davanagere,577002,Davangere,Davanagere,Shrinevash,9916616651,Shivappa circle,Unknown User,9632388953,1,L,1L
120,72430,Mamubhee general store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/OAX82451993-Mamubhee general store20240727_1124gifg6.jpeg,14.4758675,75.9241413,Dodapete market road Davanagere,577002,Davangere,Davanagere,Mamubee,9985362543,Azm masjid,Unknown User,9632388953,1,T,1T
118,72410,Lakshmi coffee carnar,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/LPI11052407-Lakshmi coffee carnar20240823_155812b8na.jpeg,14.4454094,75.9197402,Shamanuru shivashankarppa samudaya bhavana vidya nagar Davanagere,577004,Davangere,Davanagere,Ravi raj,8951578099,Shamanuru shivashankarppa samudaya bhavana,Unknown User,9632388953,1,E,1E
116,72355,S L V IYYANGAR BAKERY,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/PUH50939036-S L V IYYANGAR BAKERY20240918_1352169on4.jpeg,14.4116169,75.9643025,Nh4 Tholahunase,577514,Davangere,Davanagere,Malappa,9972590485,Nh4 Tholahunase,Sanjay kumar s,9964140461,1,A,1A
115,72305,Muhammad Ali beed stal,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/SHP02679406-Muhammad Ali beed stal20240727_1303dpc91.jpeg,14.4731583,75.925499,Ajadhnagar bethur main road Davanagere,577002,Davangere,Davanagere,Muhammad Ali,9738567530,Bethur main road Davanagere,Unknown User,9632388953,1,Q,1Q
114,72281,Vishvash General store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/NNK43419001-Vishvash General store20240719_1344ephd3.jpeg,14.4496831,75.9085177,Anjineya Badavane BIET college road Davanagere,577004,Davangere,Davanagere,Vishvanath,9844981223,Sri vasanth butter dosa hotel,Unknown User,9632388953,1,F,1F
113,72241,Vinayak provision store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/LBL92775291-Vinayak provision store20240801_1112kdfo3.jpeg,14.4455063,75.9047304,Nittavalli Hkr circle Davanagere,577002,Davangere,Davanagere,Vinayak,9620463350,Hkr circle,Unknown User,9632388953,1,F,1F
112,72238,Utsamba pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/NOY12184158-Utsamba pravison store20240731_110310j7h5.jpeg,14.4480612,75.9259581,Nittavalli 60feet road Davanagere,577002,Davangere,Davanagere,Shivakumar,8747832263,SBI ATM,Unknown User,9632388953,1,H,1H
111,72229,Shri Ragavendra Bekariy,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/CTX33324380-Shri Ragavendra Bekariy20240726_1302jndem.jpeg,14.4657353,75.909858,Vinobhanagar 2nd main 7th cross Davanagere,577006,Davangere,Davanagere,Murthunjay,8553529945,Masjid,Unknown User,9632388953,1,O,1O
158,73038,New krishna Bekariy,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/AQW23395556-New krishna Bekariy20240827_1155j00ii.jpeg,14.442296,75.9353815,Jaynagar SS hospital road Davanagere,577004,Davangere,Davanagere,Upendra,8217447316,SS hospital road,Unknown User,9632388953,1,A,1A
157,73037,SML pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/ECR87482241-SML pravison store20240827_112011hhak.jpeg,14.4446402,75.9333431,Jaynagar SS hospital road Davanagere,577004,Davangere,Davanagere,Malleah,9741333782,SS hospital road,Unknown User,9632388953,1,G,1G
153,72935,New durgha Bekariy,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/TZT04288724-New durgha Bekariy20240729_1415102fmf.jpeg,14.4577542,75.9246035,Ktj Nagar Nittavalli main road Davanagere,577002,Davangere,Davanagere,Madhusudan,9844474019,Shivappa circle,Unknown User,9632388953,1,L,1L
150,72931,Mamatha beeda stal,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/SLM75372422-Mamatha beeda stal20240730_1306137068.jpeg,14.4607486,75.9234414,Ktj Nagar Nittavalli main road Davanagere,577002,Davangere,Davanagere,Basavaraj,9964710017,Shivappa circle,Unknown User,9632388953,1,N,1N
146,72870,Kaleswara tea stall,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/CFK23579085-Kaleswara tea stall20240807_135816ikfe.jpeg,14.4406389,75.8990608,Shamanuru Anjaney temple Davanagere,577004,Davangere,Davanagere,Ajjaya,8884073931,Anjaney temple,Unknown User,9632388953,1,C,1C
145,72865,Malleawara beeda stall,15,Paan Beeda,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/OLQ59134389-Malleswa beeda stall20240806_111951djb.jpeg,14.4606521,75.9036866,Nijalingappa layout Gurukul school Davanagere,577004,Davangere,Davanagere,Shivanagawd,6361084149,Gurukul school,Unknown User,9632388953,1,M,1M
144,72813,Quality cake corner,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/IPF78293740-Quality cake corner20240827_15571a479m.jpeg,14.445479,75.9047251,Jaynagar SS hospital bhagiratha circle Davanagere,577004,Davangere,Davanagere,Mallikarjun,7676492649,Bhagiratha circle Davanagere,Unknown User,9632388953,1,F,1F
143,72805,Akash pravison store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/WGP71270104-Akash pravison store20240829_1101dnf5e.jpeg,14.4538176,75.9345727,DCM layout township Road Davanagere,577004,Davangere,Davanagere,Hanumanth,8026358965,Township circle,Unknown User,9632388953,1,I,1I
141,72794,Mallikarjun conteen,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/VVG16904503-Mallikarjun conteen20240905_161110icdh.jpeg,14.4850634,75.9117473,Kondajji main road RTO office opp vishal bar and restorent Davanagere,577004,Davangere,Davanagere,Manjunath,7204404613,RTO,Unknown User,9632388953,1,V,1V
138,72729,Akash General store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/ZNX51487716-Akash General store20240814_12321a48b3.jpeg,14.4400934,75.9274887,Saraswati nagar canara bank Davanagere,577004,Davangere,Davanagere,Ravi ,9110252685,Canara bank,Unknown User,9632388953,1,D,1D
137,72723,Malnadu cakes palece,4,Bakery/ Condiments,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/XMB87583039-Malnadu cakes palece20240729_1436602fp.jpeg,14.4573524,75.9246172,Ktj Nagar Nittavalli main road Davanagere,577002,Davangere,Davanagere,Abhinandn,7022113302,Dangi park,Unknown User,9632388953,1,L,1L
136,72717,Jagamna Janarl store,1,General Store,https://gtaprodstorage.blob.core.windows.net/clappia-photos/obj_7/UBR28216418-Jagamna Janarl store20240725_1118p5ee2.jpeg,14.4605549,75.9086474,MCC A block bakkeswra school Davanagere,577004,Davangere,Davanagere,Gopalaswmi,7483532459,Bakkeswra school,Unknown User,9632388953,1,J,1J
